Number,Kannada,in English
642,ಕುಸಿಯಿತು,fell
643,ಸರಿಹೊಂದದ,fit
644,ಹರಿಯುವಂತೆ,flow
645,ನ್ಯಾಯೋಚಿತ,fair
646,ಬ್ಯಾಂಕ್,bank
647,ಸಂಗ್ರಹಿಸಲು,collect
648,ಉಳಿಸಲು,save
649,ನಿಯಂತ್ರಣ,control
650,ದಶಮಾಂಶ,decimal
651,ಕಿವಿ,ear
652,ಬೇರೆ,else
653,ಸಾಕಷ್ಟು,quite
654,ಮುರಿಯಿತು,broke
655,ಸಂದರ್ಭದಲ್ಲಿ,case
656,ಮಧ್ಯಮ,middle
657,ಕೊಲ್ಲಲು,kill
658,ಮಗ,son
659,ಸರೋವರದ,lake
660,ಕ್ಷಣ,moment
661,ಪ್ರಮಾಣದ,scale
662,ಜೋರಾಗಿ,loud
663,ವಸಂತ,spring
664,ಗಮನಿಸಿ,observe
665,ಮಗು,child
666,ನೇರ,straight
667,ವ್ಯಂಜನ,consonant
668,ರಾಷ್ಟ್ರದ,nation
669,ನಿಘಂಟು,dictionary
670,ಹಾಲು,milk
671,ವೇಗ,speed
672,ವಿಧಾನ,method
673,ಅಂಗ,organ
674,ಪಾವತಿ,pay
675,ವಯಸ್ಸು,age
676,ವಿಭಾಗ,section
677,ಉಡುಗೆ,dress
678,ಮೋಡದ,cloud
679,ಅನಿರೀಕ್ಷಿತ,surprise
680,ಸ್ತಬ್ಧ,quiet
681,ಕಲ್ಲು,stone
682,ಸಣ್ಣ,tiny
683,ಏರಿಕೆಗೆ,climb
684,ತಂಪಾಗಿದೆ,cool
685,ವಿನ್ಯಾಸ,design
686,ಕಳಪೆ,poor
687,ಬಹಳಷ್ಟು,lot
688,ಪ್ರಯೋಗ,experiment
689,ಕೆಳಗೆ,bottom
690,ಪ್ರಮುಖ,key
691,ಕಬ್ಬಿಣದ,iron
692,ಏಕ,single
693,ಸ್ಟಿಕ್,stick
694,ಫ್ಲಾಟ್,flat
695,ಇಪ್ಪತ್ತು,twenty
696,ಚರ್ಮದ,skin
697,ಸ್ಮೈಲ್,smile
698,ಕ್ರೀಸ್,crease
699,ರಂಧ್ರ,hole
700,ಜಿಗಿತವನ್ನು,jump
701,ಬೇಬಿ,baby
702,ಎಂಟು,eight
703,ಹಳ್ಳಿಯ,village
704,ಭೇಟಿ,meet
705,ಮೂಲ,root
706,ಖರೀದಿ,buy
707,ಹೆಚ್ಚಿಸಲು,raise
708,ಪರಿಹರಿಸಲು,solve
709,ಲೋಹದ,metal
710,ಎಂಬುದನ್ನು,whether
711,ಪುಶ್,push
712,ಏಳು,seven
713,ಪ್ಯಾರಾಗ್ರಾಫ್,paragraph
714,ಮೂರನೇ,third
715,ಶಲ್,shall
716,ನಡೆದ,held
717,ಕೂದಲು,hair
718,ವಿವರಿಸಲು,describe
719,ಅಡುಗೆ,cook
720,ನೆಲದ,floor
721,ಎರಡೂ,either
722,ಪರಿಣಾಮವಾಗಿ,result
723,ಬರ್ನ್,burn
724,ಬೆಟ್ಟದ,hill
725,ಸುರಕ್ಷಿತ,safe
726,ಬೆಕ್ಕು,cat
727,ಶತಮಾನದ,century
728,ಪರಿಗಣಿಸಲು,consider
729,ಮಾದರಿ,type
730,ಕಾನೂನು,law
731,ಸ್ವಲ್ಪ,bit
732,ಕರಾವಳಿ,coast
733,ಪ್ರತಿಯನ್ನು,copy
734,ನುಡಿಗಟ್ಟು,phrase
735,ಮೂಕ,silent
736,ಎತ್ತರದ,tall
737,ಮರಳು,sand
738,ಮಣ್ಣಿನ,soil
739,ರೋಲ್,roll
740,ತಾಪಮಾನ,temperature
741,ಬೆರಳು,finger
742,ಉದ್ಯಮ,industry
743,ಮೌಲ್ಯ,value
744,ಹೋರಾಟ,fight
745,ಸುಳ್ಳು,lie
746,ಬೀಟ್,beat
747,ಪ್ರಚೋದಿಸಲು,excite
748,ನೈಸರ್ಗಿಕ,natural
749,ವೀಕ್ಷಿಸಿ,view
750,ಅರ್ಥದಲ್ಲಿ,sense
