Number,Kannada,in English
227,ನಗರದ,city
228,ಮರ,tree
229,ದಾಟಲು,cross
230,ಕೃಷಿ,farm
231,ಹಾರ್ಡ್,hard
232,ಆರಂಭ,start
233,ಅಧಿಕಬಲ,might
234,ಕಥೆ,story
235,ಗರಗಸದ,saw
236,ದೂರದ,far
237,ಸಮುದ್ರ,sea
238,ಡ್ರಾ,draw
239,ಬಿಟ್ಟು,left
240,ಕೊನೆಯ,late
241,ರನ್,run
242,ಹಾಗೆ,don’t
243,ಹಾಗೆಯೇ,while
244,ಪತ್ರಿಕಾ,press
245,ಹತ್ತಿರ,close
246,ರಾತ್ರಿ,night
247,ನಿಜವಾದ,real
248,ಜೀವನ,life
249,ಕೆಲವು,few
250,ಉತ್ತರ,north
