Number,Kannada,in English,Mispelled Kannada
873,ಪ್ರಸ್ತಾಪವನ್ನು,offer,ಪ್ರಸ್ತಾಪವನ್ನ
874,ಭಾಗ,segment, ಭಾಗಾ
875,ಗುಲಾಮ,slave,ಗುಲಾ
876,ಡಕ್,duck,ಡಕ
877,ತ್ವರಿತ,instant,ತ್ವರಿತಾ
878,ಮಾರುಕಟ್ಟೆ,market,ಮಾರುಕಟ್ಟ
879,ಪದವಿ,degree,ಪದವಿಾ
880,ಜನಪ್ರಿಯಗೊಳಿಸುವುದಕ್ಕೆ,populate,ಜನಪ್ರಿಯಗೊಳಿಸುವುದಕ್ಕ
881,ಮರಿಯನ್ನು,chick,ಮರಿಯನ್ನ
882,ಪ್ರಿಯ,dear,ಪ್ರಿಯಾ
883,ಶತ್ರು,enemy,ಶತ್ರ
884,ಪ್ರತ್ಯುತ್ತರ,reply,ಪ್ರತ್ಯುತ್ತ
885,ಪಾನೀಯ,drink,ಪಾನೀ
886,ಸಂಭವಿಸುತ್ತದೆ,occur,ಸಂಭವಿಸುತ್ತದ
887,ಬೆಂಬಲ,support,ಬೆಂಬ
888,ಭಾಷಣ,speech,ಭಾಷ
889,ಪ್ರಕೃತಿ,nature,ಪ್ರಕೃತಿಾ
890,ಶ್ರೇಣಿಯ,range,ಶ್ರೇಣಿ
891,ಉಗಿ,steam,ಉಗ
892,ಚಲನೆಯ,motion,ಚಲನೆಯಚ
893,ಮಾರ್ಗ,path,ಮಾರ್
894,ದ್ರವ,liquid,ದ್ರವಾ
895,ಲಾಗ್,log,ಲಾಗ
896,ಅರ್ಥ,meant,ಅರ್ಥಾ
897,ಭಾಗಲಬ್ಧ,quotient,ಭಾಗಲಬ್
898,ಹಲ್ಲುಗಳು,teeth,ಹಲ್ಲುಗಳ
899,ಚಿಪ್ಪು,shell,ಚಿಪ್ಪ
900,ಕುತ್ತಿಗೆ,neck,ಕುತ್ತಿಗ
901,ಆಮ್ಲಜನಕ,oxygen,ಆಮ್ಲಜನ
902,ಸಕ್ಕರೆ,sugar,ಸಕ್ಕರೆಾ
903,ಸಾವು,death,ಸಾವುಾ
904,ಬಹಳ,pretty,ಬಹ
905,ಕೌಶಲ್ಯ,skill,ಕೌಶಲ್
906,ಮಹಿಳೆಯರು,women,ಮಹಿಳೆಯರ
907,ಋತುವಿನ,season,ಋತುವಿ
908,ಪರಿಹಾರ,solution,ಋತುವಿಾ
909,ಮ್ಯಾಗ್ನೆಟ್,magnet,ಮ್ಯಾಗ್ನೆಟ
910,ಬೆಳ್ಳಿ,silver,ಬೆಳ್ಳ
911,ಧನ್ಯವಾದ,thank, ಧನ್ಯವಾ
912,ಶಾಖೆ,branch,ಶಾಖ
913,ಪಂದ್ಯದ,match,ಪಂದ್ಯ
914,ಪ್ರತ್ಯಯ,suffix,ಪ್ರತ್ಯ
915,ವಿಶೇಷವಾಗಿ,especially,ವಿಶೇಷವಾಗಿಾ
916,ಅಂಜೂರದ,fig,ಅಂಜೂರದವ
917,ಹೆದರುತ್ತಿದ್ದರು,afraid,ಹೆದರುತ್ತಿದ್ದರುಸ
918,ಬೃಹತ್,huge,ಬೃಹತ್ಾ
919,ಸಹೋದರಿ,sister,ಸಹೋದರ
920,ಉಕ್ಕಿನ,steel,ಉಕ್ಕಿನಾ
921,ಚರ್ಚೆ,discuss,ಚರ್ಚೆಾ
922,ಮುಂದೆ,forward,ಮುಂದೆಾ
923,ಇದೇ,similar,  ಇದೇಾ
924,ಮಾರ್ಗದರ್ಶನ,guide,ಮಾರ್ಗದರ್ಶನಾ
925,ಅನುಭವ,experience,ಅನುಭ
926,ಸ್ಕೋರ್,score,ಸ್ಕೋರ್ಾ
927,ಸೇಬು,apple,ಸೇಬುಾ
928,ಖರೀದಿಸಿ,bought,ಖರೀದಿಸ
929,ಕಾರಣವಾಯಿತು,led,ಕಾರಣವಾಯಿತ
930,ಪಿಚ್,pitch,ಪಿಚ್ಚ
931,ಕೋಟ್,coat,ಕೋಟ
932,ಸಮೂಹ,mass,ಸಮೂಹಾ
933,ಕಾರ್ಡ್,card,ಕಾರ್ಡ್ಾ
934,ಬ್ಯಾಂಡ್,band,ಬ್ಯಾಂಡ್ಾ
935,ಹಗ್ಗ,rope,ಹಗ್ಗಾ
936,ಸ್ಲಿಪ್,slip,ಸ್ಲಿಪ
937,ಗೆಲುವು,win,ಗೆಲುವ
938,ಕನಸು,dream,ಕನಸ
939,ಸಂಜೆ,evening,ಸಂಜ
940,ಸ್ಥಿತಿ,condition,ಸ್ಥಿತ
941,ಫೀಡ್,feed,ಫೀಡ
942,ಸಾಧನ,tool,ಸಾಧ
943,ಒಟ್ಟು,total,ಒಟ್ಟ
944,ಮೂಲ,basic,ಮೂ
945,ವಾಸನೆ,smell,ವಾಸನ
946,ಕಣಿವೆಯ,valley,ಕಣಿವೆ
947,ಅಥವಾ,nor,ಅಥವ
948,ಡಬಲ್,double,ಡಬಲ್ವ
949,ಸ್ಥಾನವನ್ನು,seat,ಸ್ಥಾನವನ್ನ
950,ಮುಂದುವರೆಯಲು,continue,ಮುಂದುವರೆಯಲ
951,ಬ್ಲಾಕ್,block,ಬ್ಲಾಕ
952,ಚಾರ್ಟ್,chart,ಚಾರ್
953,ಹ್ಯಾಟ್,hat,ಹ್ಯಾಟ
954,ಮಾರಾಟ,sell,ಮಾರಾ
955,ಯಶಸ್ಸು,success,ಯಶಸ್ಸ
956,ಕಂಪನಿ,company,ಕಂಪನಿಾ
957,ಕಳೆಯಿರಿ,subtract,ಕಳೆಯಿರ
958,ಈವೆಂಟ್,event,ಈವೆಂಟ್ವ
959,ನಿರ್ದಿಷ್ಟ,particular,ನಿರ್ದಿಷ್
960,ಒಪ್ಪಂದ,deal,ಒಪ್ಪಂದಾ
961,ಈಜು,swim,ಈಜುಾ
962,ಪದ,term,ಪದಾ
963,ವಿರುದ್ಧ,opposite,ವಿರುದ್
964,ಪತ್ನಿ,wife,ಪತ್ನ
965,ಶೂ,shoe,ಶೂಾ
966,ಭುಜದ,shoulder,ಭುಜದಾ
967,ಹರಡುವಿಕೆ,spread,ಹರಡುವಿ
968,ವ್ಯವಸ್ಥೆ,arrange,ವ್ಯವಸ್ಥ
969,ಶಿಬಿರದಲ್ಲಿ,camp,ಶಿಬಿರದಲ್ಲಿಾ
970,ಆವಿಷ್ಕಾರ,invent,ಆವಿಷ್ಕಾಾ
971,ಹತ್ತಿ,cotton,ಹತ್ತ
972,ಜನನ,born,ಜನನಾ
973,ನಿರ್ಧರಿಸಲು,determine,ನಿರ್ಧರಿಸಲ
974,ಕಾಲುಭಾಗ,quart,ಕಾಲುಭಾ
975,ಒಂಬತ್ತು,nine,ಒಂಬತ್ತ
976,ಟ್ರಕ್,truck,ಟ್ರಕ
977,ಶಬ್ದ,noise,ಶಬ್ದಾಾ
978,ಮಟ್ಟದ,level,ಮಟ್ಟ
979,ಅವಕಾಶ,chance,ಅವಕಾ
980,ಸಂಗ್ರಹಿಸಲು,gather,ಸಂಗ್ರಹಿಸಲ
981,ಅಂಗಡಿ,shop,ಅಂಗಡ
982,ಏರಿಕೆಯ,stretch,ಏರಿಕೆ
983,ಎಸೆಯಲು,throw,ಎಸೆಯಲುಾ
984,ಶೈನ್,shine,ಶೈನ್ಾ
985,ಆಸ್ತಿ,property,ಆಸ್ತಿಾ
986,ಕಾಲಮ್,column,ಕಾಲಮ್ಾ
987,ಅಣು,molecule,ಅಣ
988,ಆಯ್ಕೆ,select,ಆಯ್ಕ
989,ತಪ್ಪು,wrong,ತಪ್ಪ
990,ಬೂದು,gray,ಬೂದ
991,ಮತ್ತೆ,repeat,ಮತ್ತ
992,ಅಗತ್ಯವಿರುತ್ತದೆ,require,ಅಗತ್ಯವಿರುತ್ತದೆಾ
993,ವಿಶಾಲ,broad,ವಿಶಾ
994,ತಯಾರು,prepare,ತಯಾರ
995,ಉಪ್ಪು,salt,ಉಪ್ಪ
996,ಮೂಗು,nose,ಮೂಗ
997,ಬಹುವಚನ,plural,ಬಹುವಚ
998,ಕೋಪ,anger,ಕೋ
999,ಹಕ್ಕು,claim,ಹಕ್ಕ
1000,ಖಂಡದ,continent,ಖಂಡ
