Number,Kannada,in English
880,ಜನಪ್ರಿಯಗೊಳಿಸುವುದಕ್ಕೆ,populate
881,ಮರಿಯನ್ನು,chick
882,ಪ್ರಿಯ,dear
883,ಶತ್ರು,enemy
884,ಪ್ರತ್ಯುತ್ತರ,reply
885,ಪಾನೀಯ,drink
886,ಸಂಭವಿಸುತ್ತದೆ,occur
887,ಬೆಂಬಲ,support
888,ಭಾಷಣ,speech
889,ಪ್ರಕೃತಿ,nature
890,ಶ್ರೇಣಿಯ,range
891,ಉಗಿ,steam
892,ಚಲನೆಯ,motion
893,ಮಾರ್ಗ,path
894,ದ್ರವ,liquid
895,ಲಾಗ್,log
896,ಅರ್ಥ,meant
897,ಭಾಗಲಬ್ಧ,quotient
898,ಹಲ್ಲುಗಳು,teeth
899,ಚಿಪ್ಪು,shell
900,ಕುತ್ತಿಗೆ,neck
901,ಆಮ್ಲಜನಕ,oxygen
902,ಸಕ್ಕರೆ,sugar
903,ಸಾವು,death
904,ಬಹಳ,pretty
905,ಕೌಶಲ್ಯ,skill
906,ಮಹಿಳೆಯರು,women
907,ಋತುವಿನ,season
908,ಪರಿಹಾರ,solution
909,ಮ್ಯಾಗ್ನೆಟ್,magnet
910,ಬೆಳ್ಳಿ,silver
911,ಧನ್ಯವಾದ,thank
912,ಶಾಖೆ,branch
913,ಪಂದ್ಯದ,match
914,ಪ್ರತ್ಯಯ,suffix
915,ವಿಶೇಷವಾಗಿ,especially
916,ಅಂಜೂರದ,fig
917,ಹೆದರುತ್ತಿದ್ದರು,afraid
918,ಬೃಹತ್,huge
919,ಸಹೋದರಿ,sister
920,ಉಕ್ಕಿನ,steel
921,ಚರ್ಚೆ,discuss
922,ಮುಂದೆ,forward
923,ಇದೇ,similar
924,ಮಾರ್ಗದರ್ಶನ,guide
925,ಅನುಭವ,experience
926,ಸ್ಕೋರ್,score
927,ಸೇಬು,apple
928,ಖರೀದಿಸಿ,bought
929,ಕಾರಣವಾಯಿತು,led
930,ಪಿಚ್,pitch
931,ಕೋಟ್,coat
932,ಸಮೂಹ,mass
933,ಕಾರ್ಡ್,card
934,ಬ್ಯಾಂಡ್,band
935,ಹಗ್ಗ,rope
936,ಸ್ಲಿಪ್,slip
937,ಗೆಲುವು,win
938,ಕನಸು,dream
939,ಸಂಜೆ,evening
940,ಸ್ಥಿತಿ,condition
941,ಫೀಡ್,feed
942,ಸಾಧನ,tool
943,ಒಟ್ಟು,total
944,ಮೂಲ,basic
945,ವಾಸನೆ,smell
946,ಕಣಿವೆಯ,valley
947,ಅಥವಾ,nor
948,ಡಬಲ್,double
949,ಸ್ಥಾನವನ್ನು,seat
950,ಮುಂದುವರೆಯಲು,continue
951,ಬ್ಲಾಕ್,block
952,ಚಾರ್ಟ್,chart
953,ಹ್ಯಾಟ್,hat
954,ಮಾರಾಟ,sell
955,ಯಶಸ್ಸು,success
956,ಕಂಪನಿ,company
957,ಕಳೆಯಿರಿ,subtract
958,ಈವೆಂಟ್,event
959,ನಿರ್ದಿಷ್ಟ,particular
960,ಒಪ್ಪಂದ,deal
961,ಈಜು,swim
962,ಪದ,term
963,ವಿರುದ್ಧ,opposite
964,ಪತ್ನಿ,wife
965,ಶೂ,shoe
966,ಭುಜದ,shoulder
967,ಹರಡುವಿಕೆ,spread
968,ವ್ಯವಸ್ಥೆ,arrange
969,ಶಿಬಿರದಲ್ಲಿ,camp
970,ಆವಿಷ್ಕಾರ,invent
971,ಹತ್ತಿ,cotton
972,ಜನನ,born
973,ನಿರ್ಧರಿಸಲು,determine
974,ಕಾಲುಭಾಗ,quart
975,ಒಂಬತ್ತು,nine
976,ಟ್ರಕ್,truck
977,ಶಬ್ದ,noise
978,ಮಟ್ಟದ,level
979,ಅವಕಾಶ,chance
980,ಸಂಗ್ರಹಿಸಲು,gather
981,ಅಂಗಡಿ,shop
982,ಏರಿಕೆಯ,stretch
983,ಎಸೆಯಲು,throw
984,ಶೈನ್,shine
985,ಆಸ್ತಿ,property
986,ಕಾಲಮ್,column
987,ಅಣು,molecule
988,ಆಯ್ಕೆ,select
989,ತಪ್ಪು,wrong
990,ಬೂದು,gray
991,ಮತ್ತೆ,repeat
992,ಅಗತ್ಯವಿರುತ್ತದೆ,require
993,ವಿಶಾಲ,broad
994,ತಯಾರು,prepare
995,ಉಪ್ಪು,salt
996,ಮೂಗು,nose
997,ಬಹುವಚನ,plural
998,ಕೋಪ,anger
999,ಹಕ್ಕು,claim
1000,ಖಂಡದ,continent
