Number,Kannada,in English,Misspelt
307,ಮೇಲೆ,above,ಮೆಲೆ
308,ಇದುವರೆಗೆ,ever,ಿದುವಾರೆಗೆ
309,ಕೆಂಪು,red,ಕೆಮೊು
310,ಪಟ್ಟಿ,list,ಪಾಥಿ
311,ಆದರೂ,though,ಆದರೂ
312,ಅಭಿಪ್ರಾಯ,feel,ಅಬಹಿಪರಯಾ
313,ಚರ್ಚೆ,talk,ಚರ್ಚ್
314,ಹಕ್ಕಿ,bird,ಹಖಿ
315,ಶೀಘ್ರದಲ್ಲೇ,soon,ಸಿಗರಾದಾಳೆ
316,ದೇಹದ,body,ದೆಹದ
317,ನಾಯಿ,dog,ನಾಯ
318,ಕುಟುಂಬ,family,ಕುತುಮಬಾ
319,ನೇರ,direct,ನೆರಾ
320,ಭಂಗಿ,pose,ಬಾನಗಿ
321,ಬಿಟ್ಟು,leave,ಬಿಟು
322,ಹಾಡು,song,ಹಾದು
323,ಅಳೆಯಲು,measure,ಅಲಾಯಾು
324,ಬಾಗಿಲು,door,ಭಾಗಿಲು
325,ಉತ್ಪನ್ನ,product,ಉತಪಾಣಾ
326,ಕಪ್ಪು,black,ಕಾಫು
327,ಸಣ್ಣ,short,ಸಾಣಾ
328,ಸಂಖ್ಯಾವಾಚಕ,numeral,ಸಂಖ್ಯಾವಾಕ
329,ವರ್ಗ,class,ವಾರಗಾ
330,ಗಾಳಿ,wind,ಗಾಲಿ
331,ಪ್ರಶ್ನೆ,question,ಪರಾಸನೆ
332,ಸಂಭವಿಸಿ,happen,ಸಂಭವಿಸೀ
333,ಸಂಪೂರ್ಣ,complete,ಸಾಮಪುರನಾ
334,ಹಡಗು,ship,ಹಾದಾಗು
335,ಪ್ರದೇಶ,area,ಪ್ರದೆಶ
336,ಅರ್ಧ,half,ಅರದಾ
337,ರಾಕ್,rock,ರಾಕ
338,ಆದೇಶ,order,ಆದೆಶ
339,ಬೆಂಕಿ,fire,ಬೆನಕಿ
340,ದಕ್ಷಿಣ,south,ಡಕಸಿನಾ
341,ಸಮಸ್ಯೆ,problem,ಸಾಮಾಸಯೆ
342,ತುಣುಕು,piece,ತುನುಕು
343,ಹೇಳಿದರು,told,ಹೆಳಿದರು
344,ತಿಳಿದಿತ್ತು,knew,ತಿಲಿದಿತ್ತು
345,ಪಾಸ್,pass,ಪಾಸ
346,ರಿಂದ,since,ರಿನದ
347,ಟಾಪ್,top,ತೊಪ
348,ಇಡೀ,whole,ಇದಿ
349,ರಾಜ,king,ರಾಜಾ
350,ರಸ್ತೆ,street,ರಸತೆ
351,ಇಂಚು,inch,ಇನಚಹ
352,ಗುಣಿಸಿ,multiply,ಗುನಿಸಿ
353,ಏನೂ,nothing,ಯೆನೂ
354,ಕೋರ್ಸ್,course,ಕೊರಸ
355,ಉಳಿಯಲು,stay,ಉಲಿಯಾಲು
356,ಚಕ್ರ,wheel,ಚಾಕರಾ
357,ಪೂರ್ಣ,full,ಪುರನಾ
358,ಶಕ್ತಿ,force,ಸಾಕತಿ
359,ನೀಲಿ,blue,ನೇಲಿ
360,ವಸ್ತು,object,ವಾಸತು
361,ನಿರ್ಧರಿಸಲು,decide,ನಿರದಾರಿಸಾಲು
362,ಮೇಲ್ಮೈ,surface,ಮೆಲಮಾಿ
363,ಆಳವಾದ,deep,ಅಳವಾದಾ
364,ಚಂದ್ರ,moon,ಛಾನದರಾ
365,ದ್ವೀಪದ,island,ಡವೇಪಾದಾ
366,ಕಾಲು,foot,ಖಾಲು
367,ವ್ಯವಸ್ಥೆಯ,system,ವ್ಯವಸ್ಥೆಯಾ
368,ಬಿಡುವಿಲ್ಲದ,busy,ಬಿಡುವಲ್ದದ
369,ಟೆಸ್ಟ್,test,ತೆಸತ
370,ದಾಖಲೆ,record,ಡಾಕಾಲೆ
371,ದೋಣಿ,boat,ದೊನಿ
372,ಸಾಮಾನ್ಯ,common,ಸಾಮಾನಯಾ
373,ಚಿನ್ನದ,gold,ಚಹಿಣಾದಾ
374,ಸಾಧ್ಯ,possible,ಸಾದಯಾ
375,ವಿಮಾನ,plane,ವಿಮಾನಾ
376,ಮುಂದಿನ,next,ಮುನದಿನಾ
377,ಒಣ,dry,ಒನಾ
378,ಆಶ್ಚರ್ಯ,wonder,ಅಸ್ಚರಯಾ
379,ನಗು,laugh,ನಾಗು
380,ಸಾವಿರ,thousand,ಶಾವಿರಾ
381,ಹಿಂದೆ,ago,ಹಿನದೆ
382,ಓಡಿ,ran,ಒದಿ
383,ಪರಿಶೀಲಿಸಿ,check,ಪರಿಸೆಲಿಸಿ
384,ಆಟದ,game,ಅತಾದ
385,ಆಕಾರ,shape,ಅಕಾರಾ
386,ಪೂರಕವಾಗಿಲ್ಲ,equate,ಪೂರಕವಾಗಿಲ್
387,ಬಿಸಿ,hot,ಬಿಸೆ
388,ಮಿಸ್,miss,ಮಿಶ
389,ತಂದರು,brought,ತಾನದರು
390,ಶಾಖ,heat,ಸಾಖ
391,ಹಿಮ,snow,ಹಿಮಾ
392,ಟೈರ್,tire,ತಿರೆ
393,ತರಲು,bring,ತಾರಲು
394,ಹೌದು,yes,ಹೊುದು
395,ದೂರದ,distant,ದುರಾದಾ
396,ತುಂಬಲು,fill,ತುಮಬಾಲು
397,ಪೂರ್ವ,east,ಪುರವಾ
398,ಬಣ್ಣ,paint,ಬಾಣಾ
399,ಭಾಷೆ,language,ಬಾಸೆ
400,ನಡುವೆ,among,ನಾದುವೆ
401,ಘಟಕ,unit,ಘತಕ
402,ವಿದ್ಯುತ್,power,ವಿದ್ಯುತ
403,ಪಟ್ಟಣದ,town,ಪಾಥಾನದ
404,ದಂಡ,fine,ದನಡ
405,ಕೆಲವು,certain,ಕೆಲವ
406,ಹಾರುವ,fly,ಹರುವ
407,ಬೀಳುತ್ತವೆ,fall,ಬೀಳತ್ತವೆ
408,ದಾರಿ,lead,ದಾರ
409,ಕೂಗು,cryಕೂಗ
410,ಡಾರ್ಕ್,dark,ಡಾರ್ಕ
411,ಯಂತ್ರ,machine,ಯಂತರ
412,ಟಿಪ್ಪಣಿ,note,ಟಿಪಪಣಿ
413,ನಿರೀಕ್ಷಿಸಿ,wait,ನಿರಕ್ಷಿಸಿ
414,ಯೋಜನೆ,plan,ಯಜನೆ
415,ವ್ಯಕ್ತಿ,figure,ವ್ಯಕತಿ
416,ನಕ್ಷತ್ರ,star,ನಕಷತರ
417,ಬಾಕ್ಸ್,box,ಬಾಕಸ
418,ನಾಮಪದ,noun,ನಮಪದ
419,ಕ್ಷೇತ್ರ,field,ಕ್ಷತ್ರ
420,ಉಳಿದ,rest,ಉಳದ
421,ಸರಿಯಾದ,correct,ಸರಯಾದ
422,ಸಾಧ್ಯವಾಗುತ್ತದೆ,able,ಸಧ್ಯವಾಗುತತದೆ
423,ಪೌಂಡ್,pound,ಪೌಂಡ
424,ಮಾಡಲಾಗುತ್ತದೆ,done,ಮಡಲಾಗುತತದೆ
425,ಸೌಂದರ್ಯ,beauty,ಸೌಂದರಯ
426,ಡ್ರೈವ್,drive,ಡ್ರವ್
427,ನಿಂತು,stood,ನಿಂತ
428,ಹೊಂದಿರಬೇಕು,contain,ಹೊಂದಿರಬಕು
429,ಮುಂದೆ,front,ಮುಂದ
430,ಕಲಿಸಲು,teach,ಕಲಸಲು
431,ವಾರ,week,ವರ
432,ಅಂತಿಮ,final,ಅಂತಮ
433,ನೀಡಿದರು,gave,ನೀಡದರ
434,ಹಸುರು,green,ಹಸರು
435,ಓಹ್,oh,ಓಹ
436,ತ್ವರಿತ,quick,ತವರಿತ
437,ಅಭಿವೃದ್ಧಿ,develop,ಅಭಿವದ್ಧ
438,ಸಾಗರ,ocean,ಸಗರ
439,ಬೆಚ್ಚಗಿನ,warm,ಬೆಚಚಗನ
440,ಉಚಿತ,free,ಉಚತ
441,ನಿಮಿಷದ,minute,ನಿಮಷದ
442,ಪ್ರಬಲ,strong,ಪರಬಲ
443,ವಿಶೇಷ,special,ವಶೇಷ
444,ಮನಸ್ಸು,mind,ಮನಸ್ಸು
445,ಹಿಂದೆ,behind,ಹಿಂದ
446,ಸ್ಪಷ್ಟ,clear,ಸ್ಪಷಟ
447,ಬಾಲ,tail,ಬಲ
448,ಉತ್ಪತ್ತಿ,produce,ಉತಪತತಿ
449,ವಾಸ್ತವವಾಗಿ,fact,ವಾಸ್ತವವಾಗ
450,ಸ್ಪೇಸ್,space,ಸಪೇಸ
451,ಕೇಳಿದ,heard,ಕೇಳದ
452,ಉತ್ತಮ,best,ಉತತಮ
453,ಗಂಟೆ,hour,ಗಂಟ
454,ಉತ್ತಮ,better,ಉತಮ
455,ನಿಜ,TRUE,ನಜ
456,ಸಮಯದಲ್ಲಿ,during,ಸಮಯದಲಲಿ
457,ನೂರು,hundred,ನರು
458,ಐದು,five,ಐದ
459,ನೆನಪಿಡಿ,remember,ನೆನಪಿಡ
460,ಹಂತ,step,ಹನತ
461,ಆರಂಭಿಕ,early,ಆರಂಭಕ
462,ಹಿಡಿದುಕೊಳ್ಳಿ,hold,ಹಿಡದುಕೊಳಳಿ
463,ಪಶ್ಚಿಮ,west,ಪಶಚಮ
464,ನೆಲದ,ground,ನಲದ
465,ಆಸಕ್ತಿ,interest,ಆಸಕತಿ
466,ತಲುಪಲು,reach,ತಲಪಲು
467,ವೇಗವಾಗಿ,fast,ವೇಗವಾಗ
468,ಕ್ರಿಯಾಪದ,verb,ಕರಿಯಪದ
469,ಹಾಡಲು,sing,ಹಾಡಲ
470,ಕೇಳಲು,listen,ಕಳಲು
471,ಆರು,six,ಆರ
472,ಟೇಬಲ್,table,ಟಬಲ
473,ಪ್ರವಾಸ,travel,ಪ್ರವಸ
474,ಕಡಿಮೆ,less,ಕಡಮೆ
475,ಬೆಳಿಗ್ಗೆ,morning,ಬೆಳಗ್ಗೆ
476,ಹತ್ತು,ten,ಹತ್ತ
477,ಸರಳ,simple,ಸರಲಾ
478,ಹಲವಾರು,several,ಹಲವರು
479,ಸ್ವರ,vowel,ಸವರ
480,ಕಡೆಗೆ,toward,ಕಡಗೆ
481,ಯುದ್ಧ,war,ಯದ್ಧ
482,ಲೇ,lay,ಲಾಯ
483,ವಿರುದ್ಧ,against,ವರುದಧ
484,ಮಾದರಿ,pattern,ಮಾದರ
485,ನಿಧಾನ,slow,ನಧಾನ
486,ಸೆಂಟರ್,center,ಸೆಂಟರ
487,ಪ್ರೀತಿ,love,ಪರೀತಿ
488,ವ್ಯಕ್ತಿ,person,ವಯಕತಿ
489,ಹಣ,money,ಹೆನ
490,ಸೇವೆ,serve,ಸೆವೆ
491,ದೂರವಾಣಿ,appear,ದೂರವಾಣ
492,ರಸ್ತೆ,road,ರಸತೆ
493,ನಕ್ಷೆ,map,ನಕಷೆ
494,ಮಳೆ,rain,ಮಳ
495,ನಿಯಮ,rule,ನಯಮ
496,ಆಡಳಿತ,govern,ಆಡಳತ
497,ಪುಲ್,pull,ಪುಲ
498,ಶೀತ,cold,ಶತ
499,ಸೂಚನೆ,notice,ಸೂಚನ
500,ಧ್ವನಿ,voice,ಧವನ
