Number,Kannada,in English,Mispelled Kannada
55,ಗಾಳಿ,air,ಗಳಿ
56,ಹಾಗೂ,well,ಹಗೂ
57,ಸಹ,also,ಸಹು
58,ಆಡಲು,play,ಆಡಲ
59,ಸಣ್ಣ,small,ಸಣ
60,ಕೊನೆಯಲ್ಲಿ,end,ಕೊನೆಯಲ್ಲ
61,ಪುಟ್,put,ಪುಟ
62,ಮನೆ,home,ಮನೆೆೇ
63,ಓದಲು,read,ಓದರು
64,ಕೈ,hand,ಕ
65,ಬಂದರು,port,ಬದರು
66,ದೊಡ್ಡ,large,ದೊಡ್
67,ಕಾಗುಣಿತ,spell,ಕಾಗುಣತ
68,ಸೇರಿಸಬಹುದು,add,ಸೇರಿಸಬಹದು
69,ಸಹ,even,ಸಹು
70,ಭೂಮಿ,land,ಭೂಮ
71,ಇಲ್ಲಿ,here,ಇಲ್ಲ
72,ಮಾಡಬೇಕಾಗುತ್ತದೆ,must,ಮಾಡಬೇಕಾಗತ್ತದೆ
73,ದೊಡ್ಡ,big,ದೊಡ
74,ಹೆಚ್ಚಿನ,high,ಹೆಚ್ಚನ
75,ಇಂತಹ,such,ಇಂತಹು
76,ಅನುಸರಿಸಿ,follow,ಅನುಸರಿ
77,ಆಕ್ಟ್,act,ಆಕ್ಟ
78,ಏಕೆ,why,ಏಕೆೆೇ
79,ಕೇಳಿ,ask,ಕಳಿ
80,ಪುರುಷರು,men,ಪರುಷರು
81,ಬದಲಾವಣೆ,change,ಬದಲಾವಣ
82,ಹೋದರು,went,ಹೋದರ
83,ಬೆಳಕಿನ,light,ಬೆಳಕನ
84,ರೀತಿಯ,kind,ರತಿಯ
85,ಆಫ್,off,ಆಫ
86,ಅಗತ್ಯವಿದೆ,need,ಅಗತ್ಯವದೆ
87,ಮನೆ,house,ಮನೆೇ
88,ಚಿತ್ರ,picture,ಚತ್ರ
89,ಪ್ರಯತ್ನಿಸಿ,try,ಪ್ರಯತ್ನಸಿ
90,ನಮಗೆ,us,ನೆಮಗೆ
91,ಮತ್ತೆ,again,ಮತ್ತ
92,ಪ್ರಾಣಿ,animal,ಪ್ರಾಣ
93,ಪಾಯಿಂಟ್,point,ಪಾಯಿಂಟ
94,ತಾಯಿ,mother,ತಾಯ
95,ವಿಶ್ವದ,world,ವಶ್ವದ
96,ಬಳಿ,near,ಬಳ
97,ನಿರ್ಮಿಸಲು,build,ನರ್ಮಿಸಲು
98,ಸ್ವಯಂ,self,ಸ್ವಯ
99,ಭೂಮಿಯ,earth,ಭಮಿಯ
100,ತಂದೆ,father,ತಂದ
101,ಯಾವುದೇ,any,ಯಾವದೇ
102,ಹೊಸ,new,ಹೊಸೆ
103,ಕೆಲಸ,work,ಹೊಸೆಾ
104,ಭಾಗ,part,ಭಗ
105,ತೆಗೆದುಕೊಳ್ಳಲು,take,ತೆಗೆದಕೊಳ್ಳಲು
106,ಪಡೆಯಲು,get,ಪಡಯಲು
107,ಸ್ಥಾನ,place,ಸ್ಥನ
108,ಮಾಡಿದ,made,ಮಡಿದ
109,ಲೈವ್,live,ಲೈವ
110,ಎಲ್ಲಿ,where,ಎಲ್ಲ
111,ನಂತರ,after,ನತರ
112,ಮತ್ತೆ,back,ಮತ್ತ
113,ಕಡಿಮೆ,little,ಕಡಿಮ
114,ಮಾತ್ರ,only,ಮಾತ
115,ಸುತ್ತಿನಲ್ಲಿ,round,ಸುತ್ತನಲ್ಲಿ
116,ವ್ಯಕ್ತಿ,man,ವ್ಯಕ್ತ
117,ವರ್ಷ,year,ವುರ್ಷ
118,ಬಂದರು,came,ಬದರು
119,ಪ್ರದರ್ಶನ,show,ಪ್ರದುರ್ಶನ
120,ಪ್ರತಿ,every,ಪ್ರುತಿ
121,ಉತ್ತಮ,good,ಉತ್ತಮೆ
122,ನನಗೆ,me,ನನಗೆೆೇ
123,ನೀಡಿ,give,ನೀಡ
124,ನಮ್ಮ,our,ನಮ
125,ಅಡಿಯಲ್ಲಿ,under,ಅಡಯಲ್ಲಿ
126,ಹೆಸರು,name,ಹೆಸರ
127,ಅತ್ಯಂತ,very,ಅತ್ಯತ
128,ಮೂಲಕ,through,ಮಲಕ
129,ಕೇವಲ,just,ಕವಲ
130,ರೂಪ,form,ರೂಪು
131,ವಾಕ್ಯ,sentence,ವಕ್ಯ
132,ಮಹಾನ್,great,ಮಹನ್
133,ನಗರದ,think,ನಗರದು
134,ಹೇಳಲು,say,ಹೇಳಲ
135,ಸಹಾಯ,help,ಸಹಾಯಾ
136,ಕಡಿಮೆ,low,ಕಡಿಮ
137,ಸಾಲು,line,ಸಾಲ
138,ಭಿನ್ನವಾಗಿರುತ್ತವೆ,differ,ಭಿನ್ನವಾಗಿರತ್ತವೆ
139,ತಿರುವು,turn,ತಿರುವ
140,ಕಾರಣ,cause,ಕಾರಣೆ
141,ಹೆಚ್ಚು,much,ಹೆಚ್ಚ
142,ಅರ್ಥ,mean,ಅರ್ಥು
143,ಮೊದಲು,before,ಮೊದಲ
144,ನಡೆಸುವಿಕೆಯನ್ನು,move,ನಡಸುವಿಕೆಯನ್ನು
145,ಬಲ,right,ಬಲು
146,ಹುಡುಗ,boy,ಹುಡುಗಿ
147,ಹಳೆಯ,old,ಹಳೆಯೆ
148,ತುಂಬಾ,too,ತುಂಬ
149,ಅದೇ,same,ಅದೆ
150,ಅವರು,she,ಅವರ
151,ಎಲ್ಲಾ,all,ಎಲ್ಲ
152,ಇಲ್ಲ,there,ಇಲ್ಲೆ
153,ಯಾವಾಗ,when,ಯಾವಗ
154,ಅಪ್,up,ಅಪ
155,ಬಳಕೆ,use,ಬಳಕ
156,ನಿಮ್ಮ,your,ನಮ್ಮ
157,ರೀತಿಯಲ್ಲಿ,way,ರೀತಯಲ್ಲಿ
158,ಬಗ್ಗೆ,about,ಬಗ್ಗ
159,ಅನೇಕ,many,ಅನೇಕಾ
160,ನಂತರ,then,ನಂತರಾ
161,ಅವುಗಳನ್ನು,them,ಅವಗಳನ್ನು
162,ಬರೆಯಲು,write,ಅವುಗಳನ್ನು
163,ಎಂದು,would,ಎಂದೆ
164,ಹಾಗೆ,like,ಹಾಗೆೇ
165,ಆದ್ದರಿಂದ,so,ಆದ್ದರಿದ
166,ಈ,these,ಈೆ
167,ತನ್ನ,her,ತನ್ನೆ
168,ಉದ್ದ,long,ಉದ
169,ಮಾಡಲು,make,ಮಡಲು
170,ವಿಷಯ,thing,ವಷಯ
171,ನೋಡಿ,see,ನೆೇಡಿ
172,ಅವರಿಗೆ,him,ಅವರಿಗು
173,ಎರಡು,two,ಎರಡ
174,ಹೊಂದಿದೆ,has,ಹೊಂದಿದ
175,ನೋಡಲು,look,ನೋಡೆಲು
176,ಹೆಚ್ಚು,more,ಹಚ್ಚು
177,ದಿನ,day,ದಿನಾ
178,ಸಾಧ್ಯವೋ,could,ಸಧ್ಯವೋ
179,ಹೋಗಿ,go,ಹೋಗಿೇ
180,ಬಂದು,come,ಬಂದ
181,ಮಾಡಿದರು,did,ಮಾಡದರು
182,ಸಂಖ್ಯೆ,number,ಸಂಖ್ಯ
183,ಧ್ವನಿ,sound,ಧ್ವನ
184,ಯಾವುದೇ,no,ಯಾವದೇ
185,ಅತ್ಯಂತ,most,ಅತ್ಯತ
186,ಜನರು,people,ಜನರ
187,ನನ್ನ,my,ನನ
188,ಮೇಲೆ,over,ಮೇಲ
189,ಗೊತ್ತು,know,ಗೊತ್ತ
190,ನೀರಿನ,water,ನೀರ
191,ಕ್ಕಿಂತ,than,ಕ್ಕಿತ
192,ಕರೆ,call,ಕರೆೇ
193,ಮೊದಲ,first,ಮೊದಲು
194,ಯಾರು,who,ಯಾರ
195,ಮೇ,may,ಮ
196,ಕೆಳಗೆ,down,ಕೆಳಗ
197,ಅಡ್ಡ,side,ಅಡ
198,ಬಂದಿದೆ,been,ಬದಿದೆ
199,ಈಗ,now,ಈಗು
200,ಹೇಗೆ,find,ಹೇಗ
201,ತಲೆ,head,ತಲೆೇ
202,ನಿಲ್ಲಲು,stand,ನಿಲ್ಲಲ
203,ಶಾಲೆ,own,ಶಾಲ
204,ಪುಟ,page,ಪುಟೆ
205,ಮಾಡಬೇಕಾದುದು,should,ಮಾಡಬೇಕದುದು
206,ದೇಶದ,country,ದೇಶದೆ
207,ಕಂಡುಬಂದಿಲ್ಲ,found,ಕಂಡುಬದಿಲ್ಲ
208,ಉತ್ತರ,answer,ಉತ್ತರು
209,ಶಾಲೆಯ,school,ಶಾಲೆಯೆ
210,ಬೆಳೆಯಲು,grow,ಬೆಳೆಯಲ
211,ಅಧ್ಯಯನ,study,ಅಧ್ಯಯನು
212,ಇನ್ನೂ,still,ಇೆನ್ನೂ
213,ತಿಳಿಯಲು,learn,ತಿಳಿಯಲ
214,ಸಸ್ಯ,plant,ಸೆಸ್ಯ
215,ಕವರ್,cover,ಕವರ
216,ಆಹಾರ,food,ಆಹಾರಾ
217,ಸೂರ್ಯ,sun,ಸುರ್ಯ
218,ನಾಲ್ಕು,four,ನಲ್ಕು
219,ನಡುವೆ,between,ನಡುವ
220,ರಾಜ್ಯ,state,ರಜ್ಯ
221,ಇರಿಸಿಕೊಳ್ಳಲು,keep,ಇರಿಸಕೊಳ್ಳಲು
222,ಕಣ್ಣಿನ,eye,ಕಣ್ಣಿನಾ
223,ಎಂದಿಗೂ,never,ಎಂದಗೂ
224,ಕಳೆದ,last,ಕಳೆದಾ
225,ಅವಕಾಶ,let,ಅವಾಕಾಶ
226,ಭಾವಿಸಲಾಗಿದೆ,thought,ಭಾವಿಸಾಲಾಗಿದೆ
227,ನಗರದ,city,ನಗರದು
228,ಮರ,tree,ಮರು
229,ದಾಟಲು,cross,ದಾಟೆಲು
230,ಕೃಷಿ,farm,ಕೃಷ
231,ಹಾರ್ಡ್,hard,ಹರ್ಡ್
232,ಆರಂಭ,start,ಆರಂಭಾ
233,ಅಧಿಕಬಲ,might,ಅಧಿಕಬಲು
234,ಕಥೆ,story,ಕಥೆೆೇ
235,ಗರಗಸದ,saw,ಗರಗಸದಾ
236,ದೂರದ,far,ದೂರದು
237,ಸಮುದ್ರ,sea,ಸಮದ್ರ
238,ಡ್ರಾ,draw,ಡ್ರ
239,ಬಿಟ್ಟು,left,ಬಟ್ಟು
240,ಕೊನೆಯ,late,ಕೊನಯ
241,ರನ್,run,ರನ
242,ಹಾಗೆ,don’t,ಹಾಗೆೆೇ
243,ಹಾಗೆಯೇ,while,ಹಾಗಯೇ
244,ಪತ್ರಿಕಾ,press,ಪತ್ರಿಕ
245,ಹತ್ತಿರ,close,ಹತ್ತಿರು
246,ರಾತ್ರಿ,night,ರಾತ್ರ
247,ನಿಜವಾದ,real,ನಿಜವಾದು
248,ಜೀವನ,life,ಜೀವನು
249,ಕೆಲವು,few,ಕೆಲವ
250,ಉತ್ತರ,north,ಉತ್ತರು
251,ಪುಸ್ತಕ,book,ಪಸ್ತಕ
252,ಸಾಗಿಸುವ,carry,ಸಗಿಸುವ
253,ತೆಗೆದುಕೊಂಡಿತು,took,ತೆಗೆದುಕಾಡಿತು
254,ವಿಜ್ಞಾನ,science,ವಿಜ್ನನ
255,ತಿನ್ನಲು,eat,ತಿನ್ಲು
256,ಕೊಠಡಿ,room,ಕಠಡಿ
257,ಸ್ನೇಹಿತ,friend,ಸನೆಹಿತಾ
258,ಆರಂಭಿಸಿದರು,began,ಅರಾಮಬಿಸಿದಾರು
259,ಕಲ್ಪನೆ,idea,ಕಲಾಪನ
260,ಮೀನು,fish,ಮೇನು
261,ಪರ್ವತ,mountain,ಪವತ
262,ನಿಲ್ಲಿಸಲು,stop,ನಿಲಸಾಲು
263,ಒಮ್ಮೆ,once,ೊಮೆ
264,ಮೂಲ,base,ಮೊಲ
265,ಕೇಳಲು,hear,ಕೀಳಲು
266,ಕುದುರೆ,horse,ಕುದರೆ
267,ಕಟ್,cut,ಕುತ
268,ಖಚಿತವಾಗಿ,sure,ಖಚಿತವಾಗೆ
269,ವೀಕ್ಷಿಸಲು,watch,ವೆಕ್ಷಿಸಲು
270,ಬಣ್ಣ,color,ಬಾಣಾ
271,ಮುಖ,face,ಮೊಖಾ
272,ಮರದ,wood,ಮರಾದ
273,ಮುಖ್ಯ,main,ಮುಕಯಾ
274,ತೆರೆದ,open,ತೆರಾದ
275,ತೋರುತ್ತದೆ,seem,ತೊರತ್ತದೆ
276,ಒಟ್ಟಿಗೆ,together,ೊಥಿಗೆ
277,ಮುಂದಿನ,next,ಮುನದಿನಾ
278,ಬಿಳಿ,white,ಬಿಲಿ
279,ಮಕ್ಕಳ,children,ಮಕ್ಳ
280,ಆರಂಭಿಸಲು,begin,ಆರಂಭಿಸಿಲು
281,ಸಿಕ್ಕಿತು,got,ಸಿಕತು
282,ನಡೆಯಲು,walk,ನಾದೆಯಾಲು
283,ಉದಾಹರಣೆಗೆ,example,ುದಾಹಾರೆನೆಗೆ
284,ಸರಾಗಗೊಳಿಸುವ,ease,ಸರಾಗಗೊಳಿಸವ
285,ಕಾಗದದ,paper,ಕಾಗಾದಾ
286,ಗುಂಪು,group,ಗುಮಪು
287,ಯಾವಾಗಲೂ,always,ಯಾವಾಗಲು
288,ಸಂಗೀತ,music,ಸಾನಗೇತಾ
289,ಆ,those,ಅ
290,ಎರಡೂ,both,ೆರಾದು
291,ಮಾರ್ಕ್,mark,ಮಾರಕ
292,ಸಾಮಾನ್ಯವಾಗಿ,often,ಸಾಮಾನಯಾವಾಗಿ
293,ಪತ್ರ,letter,ಪಾತರಾ
294,ರವರೆಗೆ,until,ರವರಿಗೆ
295,ಮೈಲಿ,mile,ಮಾಿಲಿ
296,ನದಿ,river,ನಾದಿ
297,ಕಾರು,car,ಕಾರ
298,ಅಡಿ,feet,ಾದಿ
299,ಆರೈಕೆ,care,ಅಾರಾಿಕೆ
300,ಎರಡನೇ,second,ೆರುದಾನೆ
301,ಸಾಕಷ್ಟು,enough,ಸಾಕಾಸಹತು
302,ಸರಳ,plain,ಸಾರಲ
303,ಹುಡುಗಿ,girl,ಹುದುಗಿ
304,ಸಾಮಾನ್ಯ,usual,ಸಾಮಾನ್ಯಾ
305,ಯುವ,young,ಯುವಾ
306,ಸಿದ್ಧ,ready,ಸಿಧಾ
307,ಮೇಲೆ,above,ಮೆಲೆ
308,ಇದುವರೆಗೆ,ever,ಿದುವಾರೆಗೆ
309,ಕೆಂಪು,red,ಕೆಮೊು
310,ಪಟ್ಟಿ,list,ಪಾಥಿ
311,ಆದರೂ,though,ಆದರೂ
312,ಅಭಿಪ್ರಾಯ,feel,ಅಬಹಿಪರಯಾ
313,ಚರ್ಚೆ,talk,ಚರ್ಚ್
314,ಹಕ್ಕಿ,bird,ಹಖಿ
315,ಶೀಘ್ರದಲ್ಲೇ,soon,ಸಿಗರಾದಾಳೆ
316,ದೇಹದ,body,ದೆಹದ
317,ನಾಯಿ,dog,ನಾಯ
318,ಕುಟುಂಬ,family,ಕುತುಮಬಾ
319,ನೇರ,direct,ನೆರಾ
320,ಭಂಗಿ,pose,ಬಾನಗಿ
321,ಬಿಟ್ಟು,leave,ಬಿಟು
322,ಹಾಡು,song,ಹಾದು
323,ಅಳೆಯಲು,measure,ಅಲಾಯಾು
324,ಬಾಗಿಲು,door,ಭಾಗಿಲು
325,ಉತ್ಪನ್ನ,product,ಉತಪಾಣಾ
326,ಕಪ್ಪು,black,ಕಾಫು
327,ಸಣ್ಣ,short,ಸಾಣಾ
328,ಸಂಖ್ಯಾವಾಚಕ,numeral,ಸಂಖ್ಯಾವಾಕ
329,ವರ್ಗ,class,ವಾರಗಾ
330,ಗಾಳಿ,wind,ಗಾಲಿ
331,ಪ್ರಶ್ನೆ,question,ಪರಾಸನೆ
332,ಸಂಭವಿಸಿ,happen,ಸಂಭವಿಸೀ
333,ಸಂಪೂರ್ಣ,complete,ಸಾಮಪುರನಾ
334,ಹಡಗು,ship,ಹಾದಾಗು
335,ಪ್ರದೇಶ,area,ಪ್ರದೆಶ
336,ಅರ್ಧ,half,ಅರದಾ
337,ರಾಕ್,rock,ರಾಕ
338,ಆದೇಶ,order,ಆದೆಶ
339,ಬೆಂಕಿ,fire,ಬೆನಕಿ
340,ದಕ್ಷಿಣ,south,ಡಕಸಿನಾ
341,ಸಮಸ್ಯೆ,problem,ಸಾಮಾಸಯೆ
342,ತುಣುಕು,piece,ತುನುಕು
343,ಹೇಳಿದರು,told,ಹೆಳಿದರು
344,ತಿಳಿದಿತ್ತು,knew,ತಿಲಿದಿತ್ತು
345,ಪಾಸ್,pass,ಪಾಸ
346,ರಿಂದ,since,ರಿನದ
347,ಟಾಪ್,top,ತೊಪ
348,ಇಡೀ,whole,ಇದಿ
349,ರಾಜ,king,ರಾಜಾ
350,ರಸ್ತೆ,street,ರಸತೆ
351,ಇಂಚು,inch,ಇನಚಹ
352,ಗುಣಿಸಿ,multiply,ಗುನಿಸಿ
353,ಏನೂ,nothing,ಯೆನೂ
354,ಕೋರ್ಸ್,course,ಕೊರಸ
355,ಉಳಿಯಲು,stay,ಉಲಿಯಾಲು
356,ಚಕ್ರ,wheel,ಚಾಕರಾ
357,ಪೂರ್ಣ,full,ಪುರನಾ
358,ಶಕ್ತಿ,force,ಸಾಕತಿ
359,ನೀಲಿ,blue,ನೇಲಿ
360,ವಸ್ತು,object,ವಾಸತು
361,ನಿರ್ಧರಿಸಲು,decide,ನಿರದಾರಿಸಾಲು
362,ಮೇಲ್ಮೈ,surface,ಮೆಲಮಾಿ
363,ಆಳವಾದ,deep,ಅಳವಾದಾ
364,ಚಂದ್ರ,moon,ಛಾನದರಾ
365,ದ್ವೀಪದ,island,ಡವೇಪಾದಾ
366,ಕಾಲು,foot,ಖಾಲು
367,ವ್ಯವಸ್ಥೆಯ,system,ವ್ಯವಸ್ಥೆಯಾ
368,ಬಿಡುವಿಲ್ಲದ,busy,ಬಿಡುವಲ್ದದ
369,ಟೆಸ್ಟ್,test,ತೆಸತ
370,ದಾಖಲೆ,record,ಡಾಕಾಲೆ
371,ದೋಣಿ,boat,ದೊನಿ
372,ಸಾಮಾನ್ಯ,common,ಸಾಮಾನಯಾ
373,ಚಿನ್ನದ,gold,ಚಹಿಣಾದಾ
374,ಸಾಧ್ಯ,possible,ಸಾದಯಾ
375,ವಿಮಾನ,plane,ವಿಮಾನಾ
376,ಮುಂದಿನ,next,ಮುನದಿನಾ
377,ಒಣ,dry,ಒನಾ
378,ಆಶ್ಚರ್ಯ,wonder,ಅಸ್ಚರಯಾ
379,ನಗು,laugh,ನಾಗು
380,ಸಾವಿರ,thousand,ಶಾವಿರಾ
381,ಹಿಂದೆ,ago,ಹಿನದೆ
382,ಓಡಿ,ran,ಒದಿ
383,ಪರಿಶೀಲಿಸಿ,check,ಪರಿಸೆಲಿಸಿ
384,ಆಟದ,game,ಅತಾದ
385,ಆಕಾರ,shape,ಅಕಾರಾ
386,ಪೂರಕವಾಗಿಲ್ಲ,equate,ಪೂರಕವಾಗಿಲ್
387,ಬಿಸಿ,hot,ಬಿಸೆ
388,ಮಿಸ್,miss,ಮಿಶ
389,ತಂದರು,brought,ತಾನದರು
390,ಶಾಖ,heat,ಸಾಖ
391,ಹಿಮ,snow,ಹಿಮಾ
392,ಟೈರ್,tire,ತಿರೆ
393,ತರಲು,bring,ತಾರಲು
394,ಹೌದು,yes,ಹೊುದು
395,ದೂರದ,distant,ದುರಾದಾ
396,ತುಂಬಲು,fill,ತುಮಬಾಲು
397,ಪೂರ್ವ,east,ಪುರವಾ
398,ಬಣ್ಣ,paint,ಬಾಣಾ
399,ಭಾಷೆ,language,ಬಾಸೆ
400,ನಡುವೆ,among,ನಾದುವೆ
401,ಘಟಕ,unit,ಘತಕ
402,ವಿದ್ಯುತ್,power,ವಿದ್ಯುತ
403,ಪಟ್ಟಣದ,town,ಪಾಥಾನದ
404,ದಂಡ,fine,ದನಡ
405,ಕೆಲವು,certain,ಕೆಲವ
406,ಹಾರುವ,fly,ಹರುವ
407,ಬೀಳುತ್ತವೆ,fall,ಬೀಳತ್ತವೆ
408,ದಾರಿ,lead,ದಾರ
409,ಕೂಗು,cry,ಕೂಗ
410,ಡಾರ್ಕ್,dark,ಡಾರ್ಕ
411,ಯಂತ್ರ,machine,ಯಂತರ
412,ಟಿಪ್ಪಣಿ,note,ಟಿಪಪಣಿ
413,ನಿರೀಕ್ಷಿಸಿ,wait,ನಿರಕ್ಷಿಸಿ
414,ಯೋಜನೆ,plan,ಯಜನೆ
415,ವ್ಯಕ್ತಿ,figure,ವ್ಯಕತಿ
416,ನಕ್ಷತ್ರ,star,ನಕಷತರ
417,ಬಾಕ್ಸ್,box,ಬಾಕಸ
418,ನಾಮಪದ,noun,ನಮಪದ
419,ಕ್ಷೇತ್ರ,field,ಕ್ಷತ್ರ
420,ಉಳಿದ,rest,ಉಳದ
421,ಸರಿಯಾದ,correct,ಸರಯಾದ
422,ಸಾಧ್ಯವಾಗುತ್ತದೆ,able,ಸಧ್ಯವಾಗುತತದೆ
423,ಪೌಂಡ್,pound,ಪೌಂಡ
424,ಮಾಡಲಾಗುತ್ತದೆ,done,ಮಡಲಾಗುತತದೆ
425,ಸೌಂದರ್ಯ,beauty,ಸೌಂದರಯ
426,ಡ್ರೈವ್,drive,ಡ್ರವ್
427,ನಿಂತು,stood,ನಿಂತ
428,ಹೊಂದಿರಬೇಕು,contain,ಹೊಂದಿರಬಕು
429,ಮುಂದೆ,front,ಮುಂದ
430,ಕಲಿಸಲು,teach,ಕಲಸಲು
431,ವಾರ,week,ವರ
432,ಅಂತಿಮ,final,ಅಂತಮ
433,ನೀಡಿದರು,gave,ನೀಡದರ
434,ಹಸುರು,green,ಹಸರು
435,ಓಹ್,oh,ಓಹ
436,ತ್ವರಿತ,quick,ತವರಿತ
437,ಅಭಿವೃದ್ಧಿ,develop,ಅಭಿವದ್ಧ
438,ಸಾಗರ,ocean,ಸಗರ
439,ಬೆಚ್ಚಗಿನ,warm,ಬೆಚಚಗನ
440,ಉಚಿತ,free,ಉಚತ
441,ನಿಮಿಷದ,minute,ನಿಮಷದ
442,ಪ್ರಬಲ,strong,ಪರಬಲ
443,ವಿಶೇಷ,special,ವಶೇಷ
444,ಮನಸ್ಸು,mind,ಮನಸ್ಸು
445,ಹಿಂದೆ,behind,ಹಿಂದ
446,ಸ್ಪಷ್ಟ,clear,ಸ್ಪಷಟ
447,ಬಾಲ,tail,ಬಲ
448,ಉತ್ಪತ್ತಿ,produce,ಉತಪತತಿ
449,ವಾಸ್ತವವಾಗಿ,fact,ವಾಸ್ತವವಾಗ
450,ಸ್ಪೇಸ್,space,ಸಪೇಸ
451,ಕೇಳಿದ,heard,ಕೇಳದ
452,ಉತ್ತಮ,best,ಉತತಮ
453,ಗಂಟೆ,hour,ಗಂಟ
454,ಉತ್ತಮ,better,ಉತಮ
455,ನಿಜ,TRUE,ನಜ
456,ಸಮಯದಲ್ಲಿ,during,ಸಮಯದಲಲಿ
457,ನೂರು,hundred,ನರು
458,ಐದು,five,ಐದ
459,ನೆನಪಿಡಿ,remember,ನೆನಪಿಡ
460,ಹಂತ,step,ಹನತ
461,ಆರಂಭಿಕ,early,ಆರಂಭಕ
462,ಹಿಡಿದುಕೊಳ್ಳಿ,hold,ಹಿಡದುಕೊಳಳಿ
463,ಪಶ್ಚಿಮ,west,ಪಶಚಮ
464,ನೆಲದ,ground,ನಲದ
465,ಆಸಕ್ತಿ,interest,ಆಸಕತಿ
466,ತಲುಪಲು,reach,ತಲಪಲು
467,ವೇಗವಾಗಿ,fast,ವೇಗವಾಗ
468,ಕ್ರಿಯಾಪದ,verb,ಕರಿಯಪದ
469,ಹಾಡಲು,sing,ಹಾಡಲ
470,ಕೇಳಲು,listen,ಕಳಲು
471,ಆರು,six,ಆರ
472,ಟೇಬಲ್,table,ಟಬಲ
473,ಪ್ರವಾಸ,travel,ಪ್ರವಸ
474,ಕಡಿಮೆ,less,ಕಡಮೆ
475,ಬೆಳಿಗ್ಗೆ,morning,ಬೆಳಗ್ಗೆ
476,ಹತ್ತು,ten,ಹತ್ತ
477,ಸರಳ,simple,ಸರಲಾ
478,ಹಲವಾರು,several,ಹಲವರು
479,ಸ್ವರ,vowel,ಸವರ
480,ಕಡೆಗೆ,toward,ಕಡಗೆ
481,ಯುದ್ಧ,war,ಯದ್ಧ
482,ಲೇ,lay,ಲಾಯ
483,ವಿರುದ್ಧ,against,ವರುದಧ
484,ಮಾದರಿ,pattern,ಮಾದರ
485,ನಿಧಾನ,slow,ನಧಾನ
486,ಸೆಂಟರ್,center,ಸೆಂಟರ
487,ಪ್ರೀತಿ,love,ಪರೀತಿ
488,ವ್ಯಕ್ತಿ,person,ವಯಕತಿ
489,ಹಣ,money,ಹೆನ
490,ಸೇವೆ,serve,ಸೆವೆ
491,ದೂರವಾಣಿ,appear,ದೂರವಾಣ
492,ರಸ್ತೆ,road,ರಸತೆ
493,ನಕ್ಷೆ,map,ನಕಷೆ
494,ಮಳೆ,rain,ಮಳ
495,ನಿಯಮ,rule,ನಯಮ
496,ಆಡಳಿತ,govern,ಆಡಳತ
497,ಪುಲ್,pull,ಪುಲ
498,ಶೀತ,cold,ಶತ
499,ಸೂಚನೆ,notice,ಸೂಚನ
500,ಧ್ವನಿ,voice,ಧವನ
501,ಶಕ್ತಿ,energy,ಶಕ್ತ
502,ಬೇಟೆ,hunt,ಬೇಟೇ
